Nama,Kota,Tanggal,Produk,Sales
Irma,jakarta,01/01/24,Americano,100000
Irma,Jakarta,1 Jan 2024,Latte,120000
Budi,JKT,,Cappuccino,200000
Sari,Bandung,02-01-2024,Americano,150000
Rina, Jakarta ,2024-03-01,Latte,120000
Dewi,,2024-04-01,Aren Latte,130000
Andi,Bdg,03/01/24,Americano,90000
Budi,Jakarta,2024/01/05,Latte,110000
Sari,Bandung,05 Jan 2024,Cappuccino,140000
Rina,JKT,2024-01-06,Aren Latte,125000
Dewi,Jakarta,07-01-2024,Americano,100000
Andi,Bandung,2024-01-08,Latte,95000
Budi,Jakarta,2024-01-08,Cappuccino,210000
Irma,Jakarta,2024-01-09,Americano,105000
Sari,Bdg,2024-01-10,Aren Latte,135000
Rina,Jakarta,2024-01-11,Latte,115000
Dewi,Jakarta,2024-01-12,Cappuccino,220000
Andi,,2024-01-13,Americano,98000
Irma,Jakarta,2024-01-14,Aren Latte,140000
Budi,JKT,2024-01-15,Latte,130000
